"Id","Title","Time","Description","Link"
"61","Riske-Amritraj headlines Chennai Open entry list ","1660748173000","The inaugural WTA 250 event in the city will run from September 12 to 18","https://www.thehindu.com/sport/tennis/riske-amritraj-headlines-chennai-open-entry-list/article65779902.ece"
"62","Hosting of men’s World Cup on track ","1660747616000","Hockey India election process to be completed by October 9","https://www.thehindu.com/sport/hockey/hosting-of-mens-world-cup-on-track/article65779763.ece"
"63","England v South Africa: first Test, day two – live!","1660831458000","Live updates from the second day of five at Lord’sThe Spin: sign up for our weekly cricket newsletterThe players are out there and so is the sun. Ollie Pope, England’s lone star of the game so far, is ready to face the first ball from Kagiso Rabada.Back in the real world, Andrew Strauss and his sons Sam and Luca are on the field to mark Red For Ruth day. Andrew is in his red suit, like a dad going to a teenage party as The Joker. Sam and Luca are in red T-shirts and red bucket hats, like two kids at a festival. What he lacks in terms of hair, they more than make up with the sort of fluffy long-at-the-front look that you would have seen on the cover of Smash Hits in 1983. Continue reading...","https://www.theguardian.com/sport/live/2022/aug/18/england-v-south-africa-first-test-day-two-live-score-updates-cricket"
"64","Arsenal’s fast start is no accident: it is a reward for planning and patience | Karen Carney","1660816843000","Fixture list may have been kind but Mikel Arteta has rebuilt the culture and the squad to look ready for a return to the top levelMikel Arteta has been given the time required to shape a squad over two and a half years. Everyone wants a quick fix in football but sometimes changing a club’s strategy takes time and Arsenal could be about to reap the rewards. We are only two games into the new Premier League season so no one should get too carried away with six points against Crystal Palace and Leicester but the signs are promising. The victories have set the platform for a great start to the campaign, especially with winnable matches against Bournemouth, Fulham and Aston Villa before the month ends. If they get maximum points it will help build momentum and confidence, two incredibly important traits.Arsenal have had another successful window this summer, adding players with experience of winning the Premier League. Gabriel Jesus and Oleksandr Zinchenko know what it is like to fight at the top of the league and can lead the team to reach higher levels. Managers always want to add winners to the dressing room, they’re resilient. Arteta signed two players he worked with previously at Manchester City; his methods are not identical to Pep Guardiola’s but they are of the same ilk so both will know what is wanted from them. It was a smooth transition for Zinchenko and Jesus and both wanted to play in this type of football environment. Continue reading...","https://www.theguardian.com/football/blog/2022/aug/18/arsenal-fast-start-planning-patience-mikel-arteta"
"65","Rampant Emma Raducanu races past Victoria Azarenka in Cincinnati","1660769256000","British No 1 beats former grand slam title winner 6-0, 6-2Raducanu defeated Serena Williams in previous roundAs Emma Raducanu wrapped up her media obligations close to 10pm on Tuesday night, still digesting all of the wondrous moments she had experienced that evening, she faced another one of the learning experiences that have characterised her past year.After the euphoria and adrenaline of snuffing out Serena Williams before her thunderous home crowd, Raducanu was charged with forgetting it all and quickly moving on, another former No 1 to come. Continue reading...","https://www.theguardian.com/sport/2022/aug/17/rampant-emma-raducanu-races-past-victoria-azarenka-in-cincinnati"
"66","Matt Hudson‑Smith shows his class in successful 400m European title defence","1660770971000","Hudson‑Smith dominates final to win in time of 44.53secPhD student Alex Haydock-Wilson secures bronze World bronze. Commonwealth silver. And now, on a balmy night in Munich, European gold. What a heavy metal summer it has been for Matt Hudson-Smith who, over 25 magical days, has become the first British athlete to win three major medals across three different outdoor championships in the same year.And the 27-year-old did it in style, crossing the line in a one-sided 400m final in 44.53sec. But this was not just about making a history boy, but something far deeper. Continue reading...","https://www.theguardian.com/sport/2022/aug/17/matt-hudsonsmith-shows-his-class-in-successful-400m-european-title-defence"
"67","Will the Glazers sell? And a Premier League preview – Football Weekly Extra","1660824573000","Max Rushden is joined by Barry Glendenning, Robyn Cowen, Jonathan Liew and Ben Fisher to preview the Premier League games this weekend and look over the latest action from the EFLRate, review, share on Apple Podcasts, Soundcloud, Audioboom, Mixcloud, Acast and Stitcher, and join the conversation on Facebook, Twitter and email.Today: the Manchester United situation gets more ridiculous as they are linked with Asmir Begovic, João Félix and Jim Ratcliffe. Where does it all end? Continue reading...","https://www.theguardian.com/football/audio/2022/aug/18/will-the-glazers-sell-manchester-united-and-a-premier-league-preview-football-weekly-extra-podcast"
"68","Nottingham Forest agree £35m fee with Wolves for Morgan Gibbs-White","1660829797000","22-year-old to become Forest’s 16th signing of the summerWinger previously worked with Steve Cooper at SwanseaNottingham Forest have finally agreed a club-record deal to sign Morgan Gibbs-White from Wolves. The winger will cost £35m plus add-ons and will sign a five-year deal at the City Ground after undergoing a medical on Thursday. Wolves have previously rejected a number of bids for the winger but have accepted the latest offer.Gibbs-White has been Steve Cooper’s main attacking target all summer and the Forest manager will be relieved to land a player with whom he previously worked at Swansea and with England youth teams. Continue reading...","https://www.theguardian.com/football/2022/aug/18/nottingham-forest-35m-fee-wolves-morgan-gibbs-white"
"69","Deloitte report: Premier League leads European football’s financial recovery","1660818512000","English top-flight clubs’ revenues bounce back up to £4.9bnEuropean market’s overall revenues jump by 10% in 2020-21Premier League clubs can “look forward with optimism” after new figures from Deloitte revealed combined revenues rose to £4.9bn in the first full season following the coronavirus outbreak.Key findings from the financial company’s 31st Annual Review of Football Finance show the figure increased by 8% for the 2020-21 campaign, having plummeted from £5.2bn to £4.5bn the previous year in the immediate aftermath of the pandemic. Revenues for English top-flight sides are predicted to hit £5.5bn for the 2021-22 season and £6bn 12 months later, surpassing pre-Covid levels. Continue reading...","https://www.theguardian.com/football/2022/aug/18/deloitte-report-premier-league-leads-european-footballs-financial-recovery"
"70","LeBron James agrees to history-making $97.1m contract extension with Lakers","1660765996000","Contract includes third-year player option for 2024-25 seasonFour-time MVP becomes highest earning player in NBA historyLeBron James has agreed to a two-year, $97.1m contract extension with a third-year player option that will most likely keep the Lakers star in Los Angeles for as long as he chooses.ESPN was first to report the deal, citing Klutch Sports CEO Rich Paul, who represents James. Continue reading...","https://www.theguardian.com/sport/2022/aug/17/lebron-james-contract-extension-los-angeles-lakers"
