"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"47","He went viral for playing defense against LeBron James in a pro-am game. But Dion Wright says he was never scared ","1660646010000","Standing room only, fans lined around the block and social media coverage like never before, all there to see one man: a four-time NBA champion and four-time NBA Most Valuable Player. ","https://www.cnn.com/2022/08/16/sport/dion-wright-lebron-james-drew-league-spt-intl/index.html","18","SPORTS"
"48","Patrick Cantlay defends BMW Championship title as Collin Morikawa records career-worst PGA Tour hole","1661167829000","Patrick Cantlay clinched another victory at the BMW Championship on Sunday to become the first player to successfully defend a FedEx Cup playoff title.","https://www.cnn.com/2022/08/22/golf/patrick-cantlay-collin-morikawa-bmw-championship-spt-intl/index.html","19","SPORTS"
"49","Jessica Korda shoots three eagles to tie all-time lowest Ladies European Tour round","1660904108000","Jessica Korda equaled the lowest ever round shot on the Ladies European Tour with a scintillating opening performance at the Aramco Team Series in Sotogrande, Spain on Thursday.","https://www.cnn.com/2022/08/19/golf/jessica-korda-lowest-ladies-european-tour-spt-intl/index.html","20","SPORTS"
"50","Yuvraj Singh told me 'when you're set, look to bat through': Shubman Gill","1661272003030","Talented India batter Shubman Gill said former all-rounder Yuvraj Singh had told him to bat through once he is well set, an advice which paid off as he smashed his maiden ODI hundred during the third match against Zimbabwe. Gill on Monday slammed 130 off 97 balls with the help of 15 boundaries and one six to steer India to a 13-run win and a 3-0 series sweep against Zimbabwe.","https://timesofindia.indiatimes.com/sports/cricket/news/yuvraj-singh-told-me-when-youre-set-look-to-bat-through-shubman-gill/articleshow/93738207.cms","21","SPORTS"
"51","There will be no fairytale ending for Serena, says Navratilova","1661314628030","Navratilova said she completely understood the emotions Williams was wrestling with as she approaches her final tournament having experienced many of them herself. But having made her decision, Williams must be prepared to live with it and say goodbye even in the face of defeat.","https://timesofindia.indiatimes.com/sports/tennis/top-stories/there-will-be-no-fairytale-ending-for-serena-williams-says-martina-navratilova/articleshow/93743883.cms","22","SPORTS"
"52","'Don't See A Cinderella Happy Ending for Serena Williams', Says Former Tennis Player","1661315407030","Tennis great Martina Navratilova said Serena Williams must be prepared to accept the goodbyes as well as the losses and exit the stage with grace","https://www.news18.com/news/sports/dont-see-a-cinderella-happy-ending-for-serena-williams-says-former-tennis-player-5810137.html","22","SPORTS"
"53","'If Kohli gets a fifty in the very first game vs Pak, mouths will be shut'","1661254238030","Former India head coach Ravi Shastri has claimed that if talismanic India batter Virat Kohli gets a fifty in the side's match against Pakistan in the Asia Cup on August 28, then the mouths of critics will be quiet for the rest of the tournament.","https://timesofindia.indiatimes.com/sports/cricket/asia-cup/if-virat-kohli-gets-a-fifty-in-the-very-first-game-mouths-will-be-shut-for-the-rest-of-the-tournament-ravi-shastri/articleshow/93732584.cms","23","SPORTS"
"54","If Virat Kohli gets a fifty in IND vs PAK Asia Cup match, mouths will be shut: Ravi Shastri","1661260217000","","https://indianexpress.com/article/sports/cricket/if-virat-kohli-gets-a-fifty-asia-cup-mouths-will-be-shut-ravi-shastri-8107480/","23","SPORTS"
"55","""Mouths Will Be Shut..."": Ravi Shastri On Virat Kohli Regaining Form","1661311060000","Former Team India head coach Ravi Shastri labelled Virat Kohli a ""machine"", saying his hunger and passion for the game remains undiminished.","https://sports.ndtv.com/cricket/mouths-will-be-shut-ravi-shastris-strong-take-on-virat-kohli-regaining-form-3280979","23","SPORTS"
"56","Joe Root praises Ben Stokes for being open about mental health","1661315957030","Stokes kept the dialogue on mental health going as the all-rounder revealed he was still on anxiety medication after returning from a six-month break to focus on his well-being.","https://timesofindia.indiatimes.com/sports/cricket/news/joe-root-praises-ben-stokes-for-being-open-about-mental-health/articleshow/93744399.cms","24","SPORTS"
"57","Djokovic missing US Open over COVID vaccine status would be 'a joke': McEnroe","1661318936030","Djokovic has refused to take the vaccine and appears set to miss out on the year's last Grand Slam due to current US rules that require travellers to show proof of full vaccination to board flights to and enter the United States.","https://timesofindia.indiatimes.com/sports/tennis/us-open/novak-djokovic-missing-us-open-over-covid-vaccine-status-would-be-a-joke-john-mcenroe/articleshow/93745506.cms","25","SPORTS"
"58","Kalyan Chaubey likely to be unanimous AIFF presidential candidate","1661306407030","Is this the endgame in the All India Football Federation elections saga, Indian football's night without end, as we know it?","https://timesofindia.indiatimes.com/sports/football/top-stories/will-kalyan-chaubey-be-unanimous-aiff-presidential-candidate/articleshow/93741566.cms","26","SPORTS"
"59","Durand Cup: Bengaluru FC say one of their players was racially abused","1661320179030","The alleged incident took place at the Kishore Bharati Krirangan in Kolkata on Tuesday during Bengaluru FC's game against Indian Air Force in the Durand Cup football tournament.","https://timesofindia.indiatimes.com/sports/football/top-stories/durand-cup-bengaluru-fc-say-one-of-their-players-was-racially-abused/articleshow/93746042.cms","27","SPORTS"
"60","Durand Cup 2022: Bengaluru FC say one of their players was racially abused","1661320878000","","https://indianexpress.com/article/sports/football/durand-cup-2022-bengaluru-fc-say-one-of-their-players-was-racially-abused-8108421/","27","SPORTS"
"61","Durand Cup: Bengaluru FC humble Indian Air Force 4-0","1661272237000","","https://indianexpress.com/article/sports/football/durand-cup-bengaluru-fc-humble-indian-air-force-4-0-8107714/","27","SPORTS"
"62","Durand Cup 2022: FC Goa Bounce Back With a 1-0 Win Over Indian Air Force","1660921601030","With the win, Goa join Mohammedan Sporting and Bengaluru FC with three points in Group A","https://www.news18.com/news/football/durand-cup-2022-fc-goa-bounce-back-with-a-1-0-win-over-indian-air-force-5784829.html","27","SPORTS"
"63","Bengaluru FC Allege Player Racially Abused By Opposition In Durand Cup","1661317141000","Bengaluru FC have alleged that one of their players was racially abused during the team's game against Indian Air Force in the Durand Cup football tournament in Kolkata.","https://sports.ndtv.com/football/bengaluru-fc-allege-player-faced-racial-abuse-during-durand-cup-match-in-kolkata-3281198","27","SPORTS"
"64","Durand Cup: Bengaluru FC Thrash Indian Air Force for 2nd Win on the Trot","1661265876030","Roy Krishna, Sunil Chhetri, Faisal and Siva Sakthi scored as Bengaluru FC smashed Indian Air Force 4-0 in the Durand Cup","https://www.news18.com/news/football/durand-cup-bengaluru-fc-thrash-indian-air-force-for-2nd-win-on-the-trot-5808877.html","27","SPORTS"
"65","Durand Cup 2022: FC Goa bounce back with a 1-0 win over Indian Air Force","1660916420000","","https://indianexpress.com/article/sports/football/fc-goa-bounce-back-with-a-1-0-win-over-indian-air-force-8100164/","27","SPORTS"
"66","Durand Cup: Bengaluru FC humble Indian Air Force 4-0; Odisha FC beat Kerala Blasters FC to secure second win","1661277759000","Roy Krishan opened the scoring in the ninth minute of the match while Sunil Chhetri got the second in the 23rd. The third was scored by Faisal Ali in the 71st minute, while young striker Siva Sakthi got the fourth in the third minute of stoppage time.","https://www.hindustantimes.com/sports/football/durand-cup-bengaluru-fc-humble-indian-air-force-4-0-odisha-fc-beat-kerala-blasters-fc-to-secure-second-win-101661277412538.html","27","SPORTS"
"67","2nd Test: England vow to stick with 'Bazball' in bid to level SA series","1661316797030","The hosts have arrived at Manchester's Old Trafford 1-0 down in a three-match series following a chastening innings-and-12-run defeat inside three days by the Proteas at Lord's last week.","https://timesofindia.indiatimes.com/sports/cricket/news/2nd-test-england-vow-to-stick-with-bazball-in-bid-to-level-south-africa-series/articleshow/93744725.cms","28","SPORTS"
