"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"31","LIVE: Karan on wife Bipasha’s pregnancy","1661134624030","","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ranveer-singh-kangana-ranaut-suhana-khan-kartik-aaryan-hrithik-roshan-aishwarya-rai-priyanka-chopra-alia-bhatt-ranbir-kapoor/liveblog/93698364.cms","31","ENTERTAINMENT"
"32","Suniel Shetty on Athiya-Rahul's wedding","1661315397030","Athiya Shetty and KL Rahul have been in a steady relationship for quite some years now, and have recently moved in together. Fans are hoping to see their favourite couple get married, but as Athiya’s father Suniel Shetty shared that it won’t be happening anytime soon.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/suniel-shetty-finally-opens-up-about-athiya-shetty-and-kl-rahuls-wedding/articleshow/93744229.cms","32","ENTERTAINMENT"
"33","Amitabh Bachchan tests Covid positive","1661278654030","Amitabh Bachchan has tested positive for the coronavirus for the second time.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/amitabh-bachchan-tests-covid-19-positive-for-the-second-time/articleshow/93739291.cms","33","ENTERTAINMENT"
"34","Amitabh Bachchan tests Covid positive for the second time, urges those in his vicinity to get tested","1661279192000","Amitabh Bachchan tweeted on Tuesday night that he has tested Covid-19 positive, advising those in his vicinity to get tested as well.","https://www.hindustantimes.com/entertainment/bollywood/amitabh-bachchan-tests-covid-positive-for-the-second-time-101661278233269.html","33","ENTERTAINMENT"
"35","Alleged love affairs of Jacqueline Fernandez","1661311800030","Alleged love affairs of Jacqueline Fernandez","https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/alleged-love-affairs-of-jacqueline-fernandez/photostory/93730678.cms","34","ENTERTAINMENT"
"36","Karan on wife Bipasha’s pregnancy","1661285209030","Back in 2016, Bipasha Basu and Karan Singh Grover tied the sacred knot in an intimate wedding ceremony. Right from happy holiday outings and warm dinner dates, the couple has been going strong ever since. The couple is now expecting their first child.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/karan-singh-grover-pens-a-heartfelt-note-post-bipasha-basus-pregnancy-announcement/articleshow/93739956.cms","35","ENTERTAINMENT"
"37","Tamil actresses' stunning makeovers","1661319000030","South actresses have been stunning fans with their physical transformation regularly. Here is a look at from Varalaxmi to Keerthy Suresh, Tamil actresses' stunning makeovers.","https://timesofindia.indiatimes.com/entertainment/tamil/web-stories/varalaxmi-to-keerthy-suresh-tamil-actresses-stunning-makeovers/photostory/93732298.cms","36","ENTERTAINMENT"
"38","Vivek: Arrogance has crept into Bollywood","1661188945030","Vivek hasn't taken kindly to his peer's criticism and fired salvos of his own. In a candid chat with ETimes, Agnihotri also talks of all the problems plaguing Bollywood and how he feels a certain arrogance has affected the audience's perception of their erstwhile favourite stars.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/vivek-ranjan-agnihotri-arrogance-has-crept-into-bollywood-the-audience-can-see-it-exclusive/articleshow/93716097.cms","37","ENTERTAINMENT"
"39","Couples who moved in together before wedding","1661280300030","Bollywood couples who moved in together before their wedding","https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/bollywood-couples-who-moved-in-together-before-their-wedding/photostory/93739188.cms","38","ENTERTAINMENT"
"40","Madhuri Dixit's breathtaking floral closet","1661311800030","Madhuri Dixit Nene's breathtaking floral closet","https://timesofindia.indiatimes.com/entertainment/marathi/web-stories/madhuri-dixit-nenes-breathtaking-floral-closet/photostory/93734987.cms","39","ENTERTAINMENT"
"41","Ten Scalding pictures of Komalee Prasad","1661301000030","","https://timesofindia.indiatimes.com/entertainment/telugu/web-stories/ten-scalding-pictures-of-hit2-actress-komalee-prasad/photostory/93734211.cms","40","ENTERTAINMENT"
"42","SRK reacts to Suhana, Aryan & AbRam's pic","1661315204030","Suhana Khan took to her Instagram handle to share an unseen photo of herself where she is seen posing with her brothers Aryan Khan and AbRam Khan.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-reacts-to-a-photo-of-suhana-khan-aryan-khan-and-abram-khan-together-calls-it-my-little-circus/articleshow/93744137.cms","41","ENTERTAINMENT"
"43","Shah Rukh Khan has 'big-time FOMO' as he reacts to his 'little circus' Suhana Khan, Aryan Khan, AbRam Khan's pic","1661310972000","Suhana Khan shared a photo with her brothers Aryan Khan and AbRam Khan. Here's how their father Shah Rukh Khan reacted.","https://www.hindustantimes.com/entertainment/bollywood/shah-rukh-khan-has-big-time-fomo-as-he-reacts-to-suhana-khan-aryan-khan-abram-khan-s-pic-101661309241606.html","41","ENTERTAINMENT"
"44","Aryan Khan pokes fun at himself as he replies to dad Shah Rukh Khan's question on his pics: 'In a few years...'","1661226148000","Aryan Khan shared a couple of pictures with his sister Suhana Khan and brother AbRam on Intagram. Dad Shah Rukh Khan couldn't not leave a comment.","https://www.hindustantimes.com/entertainment/bollywood/aryan-khan-has-a-funny-reply-for-dad-shah-rukh-khan-s-cute-question-on-pics-with-siblings-101661222954601.html","41","ENTERTAINMENT"
"45","Aryan Khan breaks Insta hiatus, posts pics with Suhana Khan, AbRam; Shah Rukh Khan asks 'why I don’t have these pics'","1661182399000","Shah Rukh Khan's son Aryan Khan posted his first picture on Instagram in over a year, sharing a picture hugging his siblings Suhana Khan and AbRam Khan.","https://www.hindustantimes.com/entertainment/bollywood/aryan-khan-breaks-year-long-instagram-hiatus-posts-pics-with-suhana-abram-101661181810524.html","41","ENTERTAINMENT"
"46","Shah Rukh Khan drops a cute comment on Aryan Khan’s photo with siblings Suhana and AbRam: ‘Give them to me now’","1661183540000","","https://indianexpress.com/article/entertainment/bollywood/shah-rukh-khan-cute-comment-aryan-photo-suhana-abram-8105614/","41","ENTERTAINMENT"
"47","Amy takes late-night stroll with Ed Westwick","1661312091030","Amy Jackson and Ed Westwick have been dating for quite some time now. The good-looking couple often shares pictures and videos on social media and their fans just can’t have enough of the lovebirds.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/amy-jackson-takes-a-late-night-stroll-with-boyfriend-ed-westwick-see-photo/articleshow/93743329.cms","42","ENTERTAINMENT"
"48","Dia on life-threatening childbirth experience","1661313427030","Dia Mirza recently opened up about the life-threatening experience she went through during giving birth to her son Avyaan Azaad Rekhi.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/dia-mirza-reveals-her-son-avyaan-had-to-go-through-multiple-surgeries-shortly-after-his-birth/articleshow/93743663.cms","43","ENTERTAINMENT"
"49","PC remembers dad on his birth anniversary","1661309984030","Priyanka Chopra took to her Instagram handle to share a lovely photo with her late father as she remembered him on his birth anniversary.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/priyanka-chopra-shares-an-unseen-throwback-photo-with-her-late-father-as-she-remembers-him-on-his-birth-anniversary-we-miss-u-everyday/articleshow/93742614.cms","44","ENTERTAINMENT"
"50","New mommy Priyanka Chopra shares childhood pic with her dad on his birth anniversary, Nick Jonas showers love","1661315557000","","https://indianexpress.com/article/entertainment/bollywood/new-mommy-priyanka-chopra-shares-childhood-picture-with-her-dad-remembering-him-on-his-birth-anniversary-nick-jonas-reacts-with-a-heart-8108178/","44","ENTERTAINMENT"
"51","Here's why Tiger's Screw Dheela got pushed","1661179256030","There's been buzz in industry circles that Tiger Shroff's latest action flick, Screw Dheela with Karan Johar's Dharma Productions might not happen. Some reports recently cropped up that the film wasn't shelved but pushed to early 2023 due to conflicts over Tiger's dates. It was the perfect opportunity for ETimes to speak to our trusted sources and find out the truth.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/heres-the-real-reason-why-tiger-shroffs-screw-dheela-got-pushed-to-2023-exclusive/articleshow/93714256.cms","45","ENTERTAINMENT"
"52","Exclusive: Liger is exhibitors' last hope","1661264681030","Bollywood’s trade fraternity is quite bullish about Vijay Deverakonda and Ananya Panday’s film Liger, which hits cinema halls in this week. Trade pundits are predicting that the Hindi version of the film may open between 10 crores to 15 crores this Friday.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/vijay-deverakondas-liger-is-exhibitors-last-hope-after-laal-singh-chaddha-and-raksha-bandhans-dismal-box-office-report-exclusive/articleshow/93736453.cms","46","ENTERTAINMENT"
"53","Paoli Dam's most expensive ethnic wardrobe","1661275800030","Here's a look at some Paoli Dam-inspired traditional wear that you can take inspiration from for any occasion.","https://timesofindia.indiatimes.com/entertainment/bengali/web-stories/paoli-dams-most-expensive-ethnic-wardrobe/photostory/93711669.cms","47","ENTERTAINMENT"
"54","10 Times Rashmika redefined cuteness!","1661268600030","Here's a look at some cute and stylish pictures of 'Varisu' actress Rashmika Mandanna.","https://timesofindia.indiatimes.com/entertainment/tamil/web-stories/10-times-rashmika-mandanna-redefined-cuteness/photostory/93735460.cms","48","ENTERTAINMENT"
